Gen  225 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  226 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  227 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  228 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  229 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  230 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  231 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  232 | Barras usadas = 77 | Desperdicio = 24040 | % Desperdiciado = 5.58%
Gen  233 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  234 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  235 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  236 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  237 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  238 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  239 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  240 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  241 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  242 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  243 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  244 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  245 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  246 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  247 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  248 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  249 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  250 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  251 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  252 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  253 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  254 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  255 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  256 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  257 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  258 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  259 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  260 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  261 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  262 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  263 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  264 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  265 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  266 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  267 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  268 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  269 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  270 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  271 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  272 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  273 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  274 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  275 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  276 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  277 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  278 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  279 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  280 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  281 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  282 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  283 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  284 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  285 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  286 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  287 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  288 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  289 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  290 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  291 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  292 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  293 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  294 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  295 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  296 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  297 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  298 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  299 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  300 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  301 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  302 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  303 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  304 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  305 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  306 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  307 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  308 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  309 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  310 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
Gen  311 | Barras usadas = 76 | Desperdicio = 18440 | % Desperdiciado = 4.33%
